candidate_id,name,experience_years,education_level,in_salary_expectation,in_preferred_seniority,in_preferred_industries,in_preferred_locations,in_true_skills,resume_skills_raw,in_quality_score
C00000,Candidate_0,13,Master,201653,Lead,"[""Retail"", ""Media"", ""Education""]","[""Austin, TX""]","[""Cloud"", ""Excel"", ""Statistics"", ""Python""]","[""cloud"", ""Excel"", ""stats"", ""py""]",0.487
C00001,Candidate_1,9,Associate,129141,Senior,"[""Manufacturing""]","[""Boston, MA"", ""Remote"", ""Seattle, WA"", ""Chicago, IL""]","[""Communication"", ""Java"", ""SQL""]","[""java"", ""PostgreSQL""]",0.797
C00002,Candidate_2,7,PhD,119868,Senior,"[""Consulting""]","[""Remote""]","[""SQL"", ""Java"", ""R"", ""Docker"", ""Excel"", ""NLP""]","[""postgres"", ""java"", ""R programming"", ""kubernetes"", ""spreadsheets"", ""nlp""]",0.787
C00003,Candidate_3,19,Bachelor,211788,Lead,"[""Healthcare""]","[""Remote""]","[""Tableau"", ""Cloud"", ""SQL"", ""R"", ""Docker""]","[""tableau"", ""Cloud"", ""R programming"", ""Docker""]",0.359
C00004,Candidate_4,20,Associate,196544,Lead,"[""Energy""]","[""Los Angeles, CA"", ""New York, NY"", ""Austin, TX"", ""Remote""]","[""Python"", ""Docker"", ""Statistics""]","[""python""]",0.38
C00005,Candidate_5,15,Bachelor,159699,Lead,"[""Energy""]","[""Boston, MA"", ""San Francisco, CA"", ""Remote""]","[""Project Management"", ""TensorFlow"", ""SQL"", ""R"", ""Statistics"", ""Machine Learning""]","[""TensorFlow"", ""r"", ""deep learning""]",0.343
C00006,Candidate_6,17,Bachelor,183072,Lead,"[""Retail"", ""Transportation"", ""Manufacturing""]","[""Boston, MA"", ""Seattle, WA""]","[""Statistics"", ""TensorFlow"", ""Leadership"", ""Machine Learning"", ""Data Analysis"", ""Project Management""]","[""Statistics"", ""tf"", ""Machine Learning"", ""data analytics""]",0.879
C00007,Candidate_7,4,High School,84129,Mid,"[""Healthcare"", ""Finance"", ""Media""]","[""Remote"", ""Los Angeles, CA"", ""San Francisco, CA""]","[""Statistics"", ""R"", ""Data Analysis"", ""Communication""]","[""Statistics"", ""R programming"", ""analytics"", ""communication""]",0.613
C00008,Candidate_8,1,High School,60902,Entry,"[""Media"", ""Consulting""]","[""Seattle, WA"", ""Los Angeles, CA"", ""Atlanta, GA""]","[""R"", ""Data Analysis"", ""Docker""]","[""data analytics"", ""kubernetes""]",0.592
C00009,Candidate_9,12,Master,230207,Lead,"[""Manufacturing"", ""Finance""]","[""Remote"", ""Boston, MA"", ""Los Angeles, CA""]","[""NLP"", ""R"", ""Statistics"", ""Excel""]","[""r"", ""statistical analysis"", ""excel""]",0.683
C00010,Candidate_10,7,Master,173820,Senior,"[""Media"", ""Transportation"", ""Manufacturing""]","[""San Francisco, CA"", ""Remote"", ""Los Angeles, CA"", ""New York, NY""]","[""SQL"", ""JavaScript"", ""Data Analysis"", ""Tableau"", ""Docker""]","[""MySQL"", ""node.js"", ""data analysis"", ""data visualization"", ""docker""]",0.455
C00011,Candidate_11,20,Bachelor,185743,Lead,"[""Healthcare""]","[""Los Angeles, CA"", ""San Francisco, CA"", ""Boston, MA"", ""Remote""]","[""JavaScript"", ""R"", ""Python""]","[""node.js"", ""R programming"", ""py""]",0.573
C00012,Candidate_12,0,Master,65765,Entry,"[""Education"", ""Manufacturing"", ""Technology""]","[""San Francisco, CA""]","[""Python"", ""Java"", ""Docker""]","[""Python"", ""docker""]",0.422
C00013,Candidate_13,12,Bachelor,171446,Lead,"[""Education""]","[""New York, NY"", ""Atlanta, GA"", ""Seattle, WA"", ""Remote""]","[""Data Analysis"", ""Excel"", ""Java""]","[""data analytics"", ""Excel"", ""Java""]",0.691
C00014,Candidate_14,3,Bachelor,112585,Mid,"[""Media"", ""Manufacturing""]","[""Remote"", ""Austin, TX"", ""Seattle, WA""]","[""Java"", ""Machine Learning"", ""Project Management"", ""Communication"", ""Tableau"", ""JavaScript"", ""Docker""]","[""Java"", ""AI/ML"", ""Project Management"", ""Communication"", ""data visualization"", ""node.js"", ""Docker""]",0.457
C00015,Candidate_15,1,Master,79134,Entry,"[""Technology"", ""Finance""]","[""Chicago, IL"", ""Los Angeles, CA""]","[""Communication"", ""Project Management"", ""Data Analysis""]","[""communication"", ""scrum""]",0.654
C00016,Candidate_16,7,Master,179433,Senior,"[""Media"", ""Healthcare"", ""Retail""]","[""Atlanta, GA"", ""Denver, CO"", ""Austin, TX""]","[""R"", ""Communication"", ""Python"", ""TensorFlow"", ""NLP""]","[""r"", ""presentation"", ""python"", ""tensorflow"", ""natural language processing""]",0.759
C00017,Candidate_17,16,Associate,160467,Lead,"[""Healthcare""]","[""Chicago, IL"", ""Denver, CO"", ""San Francisco, CA""]","[""Machine Learning"", ""JavaScript"", ""Communication""]","[""AI/ML"", ""node.js"", ""Communication""]",0.582
C00018,Candidate_18,8,Bachelor,155070,Senior,"[""Retail"", ""Education""]","[""Los Angeles, CA""]","[""Python"", ""R"", ""SQL"", ""Java"", ""JavaScript""]","[""Python3"", ""SQL"", ""java"", ""node.js""]",0.724
C00019,Candidate_19,0,Bachelor,78423,Entry,"[""Technology"", ""Education""]","[""New York, NY"", ""Austin, TX"", ""Seattle, WA"", ""Los Angeles, CA""]","[""Cloud"", ""TensorFlow"", ""Leadership"", ""Communication"", ""Java"", ""Data Analysis""]","[""azure"", ""TensorFlow"", ""team lead"", ""communication"", ""Java"", ""data analytics""]",0.419
C00020,Candidate_20,14,Master,197053,Lead,"[""Transportation"", ""Technology"", ""Consulting""]","[""San Francisco, CA"", ""Remote"", ""Seattle, WA"", ""Atlanta, GA""]","[""Data Analysis"", ""SQL"", ""Machine Learning"", ""Project Management"", ""NLP""]","[""Data Analysis"", ""sql"", ""Machine Learning"", ""Project Management"", ""nlp""]",0.421
C00021,Candidate_21,14,Bachelor,187889,Lead,"[""Manufacturing"", ""Education""]","[""San Francisco, CA"", ""Chicago, IL"", ""Seattle, WA""]","[""JavaScript"", ""Leadership"", ""Machine Learning"", ""Docker""]","[""JavaScript"", ""Leadership"", ""machine learning"", ""k8s""]",0.633
C00022,Candidate_22,11,Associate,193599,Lead,"[""Consulting"", ""Technology""]","[""Seattle, WA""]","[""SQL"", ""Tableau"", ""Leadership"", ""Communication"", ""Java""]","[""SQL"", ""dataviz"", ""team lead"", ""Communication"", ""Java""]",0.568
C00023,Candidate_23,6,Master,143063,Senior,"[""Energy"", ""Consulting"", ""Healthcare""]","[""Los Angeles, CA"", ""Denver, CO""]","[""Communication"", ""SQL"", ""Java""]","[""presentation"", ""java""]",0.388
C00024,Candidate_24,19,Master,156369,Lead,"[""Technology"", ""Consulting"", ""Transportation""]","[""Denver, CO"", ""Austin, TX"", ""Boston, MA""]","[""Project Management"", ""Machine Learning"", ""Cloud"", ""Data Analysis"", ""NLP""]","[""AI/ML"", ""analytics""]",0.528
C00025,Candidate_25,7,Master,134853,Senior,"[""Consulting""]","[""Atlanta, GA""]","[""Communication"", ""R"", ""Tableau""]","[""communication"", ""tableau""]",0.78
C00026,Candidate_26,0,High School,69727,Entry,"[""Manufacturing"", ""Retail""]","[""Denver, CO"", ""Remote"", ""Boston, MA"", ""Austin, TX""]","[""Docker"", ""Leadership"", ""Project Management"", ""Tableau"", ""NLP"", ""Communication""]","[""people management"", ""scrum"", ""dataviz"", ""text mining"", ""communication""]",0.494
C00027,Candidate_27,13,Master,228496,Lead,"[""Media""]","[""New York, NY"", ""San Francisco, CA""]","[""Data Analysis"", ""Tableau"", ""Cloud"", ""Machine Learning"", ""Docker"", ""TensorFlow""]","[""data analytics"", ""Tableau"", ""kubernetes"", ""pytorch""]",0.604
C00028,Candidate_28,5,Bachelor,168356,Senior,"[""Consulting"", ""Finance"", ""Media""]","[""Denver, CO"", ""Remote"", ""Austin, TX""]","[""R"", ""NLP"", ""Leadership"", ""SQL"", ""Python""]","[""R"", ""natural language processing"", ""team lead"", ""python""]",0.541
C00029,Candidate_29,3,Bachelor,120388,Mid,"[""Transportation"", ""Education"", ""Consulting""]","[""Chicago, IL"", ""Austin, TX"", ""Seattle, WA""]","[""TensorFlow"", ""R"", ""JavaScript"", ""Cloud""]","[""tf"", ""r"", ""node.js"", ""gcp""]",0.629
C00030,Candidate_30,6,Master,152710,Senior,"[""Media"", ""Transportation"", ""Technology""]","[""Boston, MA"", ""Los Angeles, CA""]","[""TensorFlow"", ""Cloud"", ""Python"", ""Statistics""]","[""pytorch"", ""Python"", ""Statistics""]",0.652
C00031,Candidate_31,7,Bachelor,129342,Senior,"[""Media"", ""Consulting"", ""Technology""]","[""San Francisco, CA"", ""Austin, TX"", ""Seattle, WA""]","[""Docker"", ""R"", ""NLP"", ""Python""]","[""Docker"", ""r"", ""text mining"", ""python""]",0.689
C00032,Candidate_32,9,Bachelor,136542,Senior,"[""Manufacturing"", ""Healthcare""]","[""Denver, CO"", ""Los Angeles, CA"", ""Seattle, WA"", ""New York, NY""]","[""Communication"", ""Python"", ""SQL"", ""Tableau"", ""R"", ""NLP"", ""Leadership""]","[""communication"", ""py"", ""sql"", ""tableau"", ""R programming"", ""NLP"", ""people management""]",0.678
C00033,Candidate_33,8,High School,139427,Senior,"[""Technology"", ""Education""]","[""Remote"", ""Seattle, WA"", ""San Francisco, CA"", ""New York, NY""]","[""Cloud"", ""Machine Learning"", ""Project Management"", ""R"", ""Docker"", ""JavaScript"", ""TensorFlow""]","[""cloud"", ""ML"", ""agile"", ""r"", ""Docker"", ""javascript"", ""tensorflow""]",0.724
C00034,Candidate_34,14,Bachelor,156820,Lead,"[""Transportation"", ""Media""]","[""New York, NY""]","[""NLP"", ""Project Management"", ""Java"", ""SQL"", ""Docker"", ""Machine Learning"", ""Leadership""]","[""NLP"", ""Project Management"", ""Java"", ""sql"", ""docker"", ""AI/ML"", ""people management""]",0.664
C00035,Candidate_35,19,Bachelor,180455,Lead,"[""Technology"", ""Finance""]","[""Boston, MA"", ""Austin, TX"", ""San Francisco, CA""]","[""SQL"", ""JavaScript"", ""Communication"", ""Docker"", ""Machine Learning"", ""TensorFlow"", ""Statistics""]","[""SQL"", ""react"", ""presentation"", ""k8s"", ""machine learning"", ""pytorch"", ""statistics""]",0.629
C00036,Candidate_36,9,Bachelor,165420,Senior,"[""Technology"", ""Education""]","[""Los Angeles, CA"", ""Austin, TX"", ""Seattle, WA""]","[""Python"", ""Communication"", ""JavaScript""]","[""communication""]",0.523
C00037,Candidate_37,13,Master,182470,Lead,"[""Transportation"", ""Manufacturing"", ""Retail""]","[""New York, NY"", ""Los Angeles, CA""]","[""Python"", ""JavaScript"", ""Excel""]","[""Python3"", ""spreadsheets""]",0.2
C00038,Candidate_38,5,Master,124504,Senior,"[""Finance""]","[""Chicago, IL"", ""Boston, MA"", ""Atlanta, GA"", ""Los Angeles, CA""]","[""TensorFlow"", ""Project Management"", ""Excel"", ""Python"", ""Communication"", ""Tableau"", ""SQL""]","[""pytorch"", ""scrum"", ""Excel"", ""presentation"", ""tableau"", ""postgres""]",0.541
C00039,Candidate_39,14,Bachelor,205361,Lead,"[""Energy"", ""Media""]","[""Boston, MA"", ""Los Angeles, CA"", ""Seattle, WA"", ""Atlanta, GA""]","[""SQL"", ""Python"", ""TensorFlow"", ""Statistics"", ""JavaScript""]","[""statistics"", ""node.js""]",0.481
C00040,Candidate_40,12,Bachelor,193361,Lead,"[""Technology""]","[""New York, NY"", ""San Francisco, CA"", ""Atlanta, GA""]","[""Cloud"", ""Statistics"", ""Communication"", ""JavaScript""]","[""AWS"", ""stats"", ""communication"", ""js""]",0.495
C00041,Candidate_41,2,Bachelor,92212,Mid,"[""Finance"", ""Manufacturing"", ""Energy""]","[""Austin, TX""]","[""R"", ""TensorFlow"", ""Project Management"", ""Machine Learning""]","[""tf"", ""Project Management"", ""Machine Learning""]",0.339
C00042,Candidate_42,17,Master,210919,Lead,"[""Healthcare""]","[""Austin, TX"", ""Remote"", ""Chicago, IL"", ""Los Angeles, CA""]","[""NLP"", ""Statistics"", ""Leadership""]","[""natural language processing""]",0.713
