job_id,company_id,title,seniority,location,industry,in_actual_salary,in_salary_min,in_salary_max,required_skills_raw,in_required_skills_normalized,posted_date
J00000,CO0009,Senior Energy Role,Senior,"Boston, MA",Energy,131432,122000,162000,"[""react"", ""Data Analysis"", ""spreadsheets"", ""agile"", ""tf""]","[""JavaScript"", ""Data Analysis"", ""Excel"", ""Project Management"", ""TensorFlow""]",2024-02-09
J00001,CO0140,Lead Education Role,Lead,"Austin, TX",Education,148782,145000,205000,"[""data analysis"", ""Cloud""]","[""Data Analysis"", ""Cloud""]",2024-01-11
J00002,CO0131,Lead Media Role,Lead,"Atlanta, GA",Media,180352,155000,215000,"[""R programming"", ""Cloud"", ""sql"", ""Python""]","[""R"", ""Cloud"", ""SQL"", ""Python""]",2024-02-23
J00003,CO0042,Senior Finance Role,Senior,"Atlanta, GA",Finance,120049,115000,155000,"[""postgres"", ""data analytics""]","[""SQL"", ""Data Analysis""]",2024-02-20
J00004,CO0165,Senior Manufacturing Role,Senior,"Chicago, IL",Manufacturing,141756,113000,153000,"[""stats"", ""Machine Learning"", ""cloud""]","[""Statistics"", ""Machine Learning"", ""Cloud""]",2024-01-18
J00005,CO0094,Mid Energy Role,Mid,"Seattle, WA",Energy,109610,105000,140000,"[""project management"", ""text mining""]","[""Project Management"", ""NLP""]",2024-01-03
J00006,CO0121,Lead Healthcare Role,Lead,"Seattle, WA",Healthcare,160481,155000,215000,"[""statistics"", ""deep learning"", ""kubernetes"", ""Java""]","[""Statistics"", ""Machine Learning"", ""Docker"", ""Java""]",2024-02-14
J00007,CO0137,Lead Education Role,Lead,"Denver, CO",Education,140488,138000,198000,"[""Python"", ""data analysis"", ""TensorFlow""]","[""Python"", ""Data Analysis"", ""TensorFlow""]",2024-02-19
J00008,CO0199,Senior Technology Role,Senior,"Boston, MA",Technology,156887,122000,162000,"[""Communication"", ""TensorFlow"", ""Docker"", ""R programming"", ""tableau""]","[""Communication"", ""TensorFlow"", ""Docker"", ""R"", ""Tableau""]",2024-02-24
J00009,CO0172,Lead Energy Role,Lead,"Los Angeles, CA",Energy,187724,150000,210000,"[""communication"", ""kubernetes"", ""TensorFlow"", ""AWS"", ""R programming""]","[""Communication"", ""Docker"", ""TensorFlow"", ""Cloud"", ""R""]",2024-01-12
J00010,CO0048,Entry Consulting Role,Entry,"Boston, MA",Consulting,66827,57000,82000,"[""javascript"", ""dataviz"", ""gcp""]","[""JavaScript"", ""Tableau"", ""Cloud""]",2024-01-15
J00011,CO0015,Lead Media Role,Lead,"New York, NY",Media,164290,158000,218000,"[""Python3"", ""analytics""]","[""Python"", ""Data Analysis""]",2024-01-15
J00012,CO0033,Lead Manufacturing Role,Lead,"Seattle, WA",Manufacturing,166331,150000,210000,"[""Data Analysis"", ""spreadsheets""]","[""Data Analysis"", ""Excel""]",2024-02-09
J00013,CO0106,Mid Education Role,Mid,"Los Angeles, CA",Education,91914,85000,120000,"[""R"", ""azure""]","[""R"", ""Cloud""]",2024-01-21
J00014,CO0066,Mid Manufacturing Role,Mid,"Boston, MA",Manufacturing,111922,102000,137000,"[""Tableau"", ""excel"", ""py""]","[""Tableau"", ""Excel"", ""Python""]",2024-02-14
J00015,CO0069,Entry Manufacturing Role,Entry,"New York, NY",Manufacturing,74129,63000,88000,"[""Java"", ""excel"", ""python""]","[""Java"", ""Excel"", ""Python""]",2024-01-19
J00016,CO0145,Lead Education Role,Lead,"Boston, MA",Education,183518,152000,212000,"[""agile"", ""text mining"", ""Docker"", ""Communication"", ""leadership""]","[""Project Management"", ""NLP"", ""Docker"", ""Communication"", ""Leadership""]",2024-02-08
J00017,CO0190,Entry Retail Role,Entry,"Chicago, IL",Retail,73900,53000,78000,"[""Excel"", ""Tableau""]","[""Excel"", ""Tableau""]",2024-01-17
