company_id,name,industry,size,headquarters
CO0000,Company_0,Finance,Startup,"Los Angeles, CA"
CO0001,Company_1,Consulting,SMB,"Seattle, WA"
CO0002,Company_2,Finance,Startup,Remote
CO0003,Company_3,Retail,Startup,"San Francisco, CA"
CO0004,Company_4,Finance,SMB,"Boston, MA"
CO0005,Company_5,Education,Startup,"Atlanta, GA"
CO0006,Company_6,Consulting,Enterprise,"Boston, MA"
CO0007,Company_7,Manufacturing,Mid-Market,"San Francisco, CA"
CO0008,Company_8,Healthcare,Enterprise,"Austin, TX"
CO0009,Company_9,Energy,SMB,"Boston, MA"
CO0010,Company_10,Media,Startup,"New York, NY"
CO0011,Company_11,Retail,Startup,"Austin, TX"
CO0012,Company_12,Media,Mid-Market,"San Francisco, CA"
CO0013,Company_13,Manufacturing,Startup,"Denver, CO"
CO0014,Company_14,Finance,Mid-Market,Remote
CO0015,Company_15,Media,SMB,"New York, NY"
CO0016,Company_16,Technology,SMB,"Los Angeles, CA"
CO0017,Company_17,Finance,SMB,"New York, NY"
CO0018,Company_18,Retail,Mid-Market,"Chicago, IL"
CO0019,Company_19,Media,SMB,"Austin, TX"
CO0020,Company_20,Media,SMB,"Los Angeles, CA"
CO0021,Company_21,Finance,SMB,"Atlanta, GA"
CO0022,Company_22,Consulting,SMB,"Chicago, IL"
CO0023,Company_23,Retail,Mid-Market,"Atlanta, GA"
CO0024,Company_24,Consulting,Mid-Market,"San Francisco, CA"
CO0025,Company_25,Consulting,Startup,"Austin, TX"
CO0026,Company_26,Retail,Mid-Market,"New York, NY"
CO0027,Company_27,Consulting,Mid-Market,"Boston, MA"
CO0028,Company_28,Manufacturing,Enterprise,"Chicago, IL"
CO0029,Company_29,Healthcare,Mid-Market,"Seattle, WA"
CO0030,Company_30,Consulting,Mid-Market,Remote
CO0031,Company_31,Retail,Enterprise,"Austin, TX"
CO0032,Company_32,Consulting,SMB,"Atlanta, GA"
CO0033,Company_33,Manufacturing,Startup,"San Francisco, CA"
CO0034,Company_34,Finance,SMB,"Seattle, WA"
CO0035,Company_35,Retail,Startup,"Denver, CO"
CO0036,Company_36,Retail,Enterprise,"Atlanta, GA"
CO0037,Company_37,Energy,Startup,"New York, NY"
CO0038,Company_38,Education,Mid-Market,"Austin, TX"
CO0039,Company_39,Finance,Mid-Market,"Denver, CO"
CO0040,Company_40,Healthcare,Enterprise,"San Francisco, CA"
CO0041,Company_41,Energy,SMB,"Atlanta, GA"
